"No.","Time","Source","Destination","Protocol","Length","Info"
"166","11.220323","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=7196 Ack=283 Win=14600 Len=120"
"167","11.262719","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=7316 Win=64000 Len=0"
"168","11.265727","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=7316 Ack=283 Win=14600 Len=80"
"169","11.308745","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=7396 Win=64000 Len=0"
"170","11.312731","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=7396 Ack=283 Win=14600 Len=80"
"171","11.355469","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=7476 Win=64000 Len=0"
"172","11.437922","192.168.100.1","192.168.100.102","ICMP","98","Echo (ping) request  id=0x8924, seq=0/0, ttl=64 (reply in 173)"
"173","11.438242","192.168.100.102","192.168.100.1","ICMP","98","Echo (ping) reply    id=0x8924, seq=0/0, ttl=128 (request in 172)"
"174","11.506683","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"175","11.565284","192.168.100.1","192.168.100.102","TCP","574","8888  >  65382 [PSH, ACK] Seq=7476 Ack=283 Win=14600 Len=520"
"176","11.619924","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=7996 Win=65280 Len=0"
"177","11.622494","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=7996 Ack=283 Win=14600 Len=120"
"178","11.666333","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=8116 Win=65280 Len=0"
"179","11.669416","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=8116 Ack=283 Win=14600 Len=80"
"180","11.711908","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=8196 Win=65280 Len=0"
"181","11.714712","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=8196 Ack=283 Win=14600 Len=80"
"182","11.757899","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=8276 Win=65024 Len=0"
"183","11.761123","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=8276 Ack=283 Win=14600 Len=80"
