"No.","Time","Source","Destination","Protocol","Length","Info"
"189","4.969336","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=10931 Ack=1 Win=1825 Len=120"
"190","5.023626","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=11051 Win=10322 Len=0"
"191","5.027054","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=11051 Ack=1 Win=1825 Len=80"
"192","5.070047","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=11131 Win=10242 Len=0"
"193","5.181823","192.168.100.1","192.168.100.102","ICMP","98","Echo (ping) request  id=0x594a, seq=0/0, ttl=64 (reply in 194)"
"194","5.182211","192.168.100.102","192.168.100.1","ICMP","98","Echo (ping) reply    id=0x594a, seq=0/0, ttl=128 (request in 193)"
"195","5.237026","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"196","5.280020","192.168.100.1","192.168.100.102","TCP","574","8888  >  64383 [PSH, ACK] Seq=11131 Ack=1 Win=1825 Len=520"
"197","5.333735","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=11651 Win=9722 Len=0"
"198","5.339814","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=11651 Ack=1 Win=1825 Len=120"
"199","5.381226","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=11771 Win=9602 Len=0"
"200","5.384314","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=11771 Ack=1 Win=1825 Len=80"
"201","5.427702","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=11851 Win=9522 Len=0"
"202","5.430525","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=11851 Ack=1 Win=1825 Len=80"
"203","5.473851","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=11931 Win=9442 Len=0"
"204","5.476559","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=11931 Ack=1 Win=1825 Len=120"
"205","5.520462","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=12051 Win=9322 Len=0"
"206","5.523440","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=12051 Ack=1 Win=1825 Len=80"
"207","5.565903","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=12131 Win=9242 Len=0"
"208","5.572270","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=12131 Ack=1 Win=1825 Len=80"
"209","5.613043","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=12211 Win=9162 Len=0"
"210","5.615609","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=12211 Ack=1 Win=1825 Len=120"
"211","5.659972","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=12331 Win=9042 Len=0"
"212","5.663001","192.168.100.1","192.168.100.102","TCP","238","8888  >  64383 [PSH, ACK] Seq=12331 Ack=1 Win=1825 Len=184"
"213","5.705825","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=12515 Win=8858 Len=0"
"214","5.709235","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=12515 Ack=1 Win=1825 Len=80"
"215","5.752124","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=12595 Win=8778 Len=0"
"216","5.754992","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=12595 Ack=1 Win=1825 Len=120"
"217","5.799890","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=12715 Win=8658 Len=0"
"218","5.804535","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=12715 Ack=1 Win=1825 Len=80"
"219","5.846895","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=12795 Win=8578 Len=0"
"220","5.849903","192.168.100.1","192.168.100.102","TCP","280","8888  >  64383 [PSH, ACK] Seq=12795 Ack=1 Win=1825 Len=226"
"221","5.892318","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=13021 Win=8352 Len=0"
"222","5.895249","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=13021 Ack=1 Win=1825 Len=80"
"223","5.939863","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=13101 Win=8272 Len=0"
